appUseMode,relocateState,CPE_TYPE_MAP,OLD_STATUS_DESC (CPE_status),SN_PATTERN,REGISTER_DATE,PENALTY_PRODUCT_CODE,PENALTY,STATUS_DESC (Return status to),APIs
return,-,CPE,In service,B,6/1/2019,P17099884,2500.0,Return,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,CPE,In service,B,6/1/2019,P17099884,2500.0,Inactive,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,CPE,In service,B,6/1/2019,P17099884,2500.0,Inactive Not Paid,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,CPE,In service,B,8/1/2019,P17099884,2500.0,Return,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,CPE,In service,B,8/1/2019,P17099884,2500.0,Inactive,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,CPE,In service,B,8/1/2019,P17099884,2500.0,Inactive Not Paid,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,CPE,In service,S,8/1/2019,P17099884,2500.0,Return,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,CPE,In service,S,8/1/2019,P17099884,2500.0,Inactive,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,CPE,In service,S,8/1/2019,P17099884,2500.0,Inactive Not Paid,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,CPE,In service,S,6/1/2019,P17099884,2500.0,Return,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,CPE,In service,S,6/1/2019,P17099884,2500.0,Inactive,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,CPE,In service,S,6/1/2019,P17099884,2500.0,Inactive Not Paid,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,CPE,In service,B,6/1/2019,P17099884,2500.0,Inactive ,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,CPE,In service,B,8/1/2019,P17099884,2500.0,Inactive ,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,CPE,Inactive,B,6/1/2019,P17099884,2500.0,Return,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,CPE,Inactive,B,6/1/2019,P17099884,2500.0,Inactive Not Paid,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,CPE,Inactive,B,8/1/2019,P17099884,2500.0,Return,"deleteOTCListService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,CPE,Inactive,B,8/1/2019,P17099884,2500.0,Inactive Not Paid,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,CPE,Inactive,B,6/1/2019,P17099884,2500.0,Inactive ,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,CPE,Inactive,B,8/1/2019,P17099884,2500.0,Inactive ,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,CPE,Inactive,S,6/1/2019,P17099884,2500.0,Return,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,CPE,Inactive,S,6/1/2019,P17099884,2500.0,Inactive,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,CPE,Inactive,S,6/1/2019,P17099884,2500.0,Inactive Not Paid,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,CPE,Inactive,S,8/1/2019,P17099884,2500.0,Return,"deleteOTCListService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,CPE,Inactive,S,8/1/2019,P17099884,2500.0,Inactive,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,CPE,Inactive,S,8/1/2019,P17099884,2500.0,Inactive Not Paid,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,CPE,Return,B,6/1/2019,P17099884,2500.0,Return,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,CPE,Return,B,8/1/2019,P17099884,2500.0,Return,"updateCpeInfo,addCpeAccessory (saveTransection)"
