appUseMode,relocateState,CPE_TYPE_MAP,OLD_STATUS_DESC (CPE_status),SN_PATTERN,REGISTER_DATE,PENALTY_PRODUCT_CODE,PENALTY,STATUS_DESC (Return status to),APIs
return,-,WIFI Router,In service,B,6/1/2019,P17099884,2500.0,Return,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,WIFI Router,In service,B,6/1/2019,P17099884,2500.0,Inactive Not paid,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,WIFI Router,In service,B,8/1/2019,P17099884,2500.0,Return,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,WIFI Router,In service,B,8/1/2019,P17099884,2500.0,Inactive Not paid,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,WIFI Router,In service,B,6/1/2019,P17099884,2500.0,Inactive,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,WIFI Router,In service,B,8/1/2019,P17099884,2500.0,Inactive,"createOrderChangePromotion,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,WIFI Router,In service,R,8/1/2019,P17099884,2500.0,Return,"createOrderChangePromotion,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,WIFI Router,In service,R,8/1/2019,P17099884,2500.0,Inactive Not paid,"createOrderChangePromotion,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,WIFI Router,In service,R,8/1/2019,P17099884,2500.0,Inactive,"createOrderChangePromotion,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,WIFI Router,Inactive,R,8/1/2019,P17099884,2500.0,Return,"deleteOTCListService,createOrderChangePromotion,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,WIFI Router,Inactive,R,8/1/2019,P17099884,2500.0,Inactive Not paid,"createOrderChangePromotion,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,WIFI Router,Inactive,B,6/1/2019,P17099884,2500.0,Return,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,WIFI Router,Inactive,B,8/1/2019,P17099884,2500.0,Return,"deleteOTCListService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,WIFI Router,In service,S,8/1/2019,P17099884,2500.0,Return,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,WIFI Router,In service,S,6/1/2019,P17099884,2500.0,Return,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,WIFI Router,Inactive,S,6/1/2019,P17099884,2500.0,Return,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,WIFI Router,Inactive,S,8/1/2019,P17099884,2500.0,Return,"deleteOTCListService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,WIFI Router,Return,B,6/1/2019,P17099884,2500.0,Return,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,WIFI Router,Return,B,8/1/2019,P17099884,2500.0,Return,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,WIFI Router,Return,R,6/1/2019,P17099884,2500.0,Return,"createOrderChangePromotion,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,WIFI Router,Return,R,8/1/2019,P17099884,2500.0,Return,"createOrderChangePromotion,updateCpeInfo,addCpeAccessory (saveTransection)"
