appUseMode,relocateState,CPE_TYPE_MAP,OLD_STATUS_DESC (CPE_status),SN_PATTERN,REGISTER_DATE,PENALTY_PRODUCT_CODE,PENALTY,STATUS_DESC (Return status to),APIs
return,Relocation,CPE,In service,B,8/1/2019,P17099884,2500,Inactive,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,CPE,In service,B,6/1/2019,P17099884,2500,Return,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,CPE,In service,B,6/1/2019,P17099884,2500,Inactive,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,CPE,In service,B,6/1/2019,P17099884,2500,Inactive Not Paid,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,CPE,In service,B,8/1/2019,P17099884,2500,Return,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,CPE,In service,B,8/1/2019,P17099884,2500,Inactive,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,CPE,In service,B,8/1/2019,P17099884,2500,Inactive Not Paid,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,CPE,Inactive,B,6/1/2019,P17099884,2500,Return,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,CPE,Inactive,B,6/1/2019,P17099884,2500,Inactive Not Paid,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,CPE,Inactive,B,8/1/2019,P17099884,2500,Return,"deleteOTCListService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,CPE,Inactive,B,8/1/2019,P17099884,2500,Inactive Not Paid,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,CPE,Inactive,B,6/1/2019,P17099884,2500,Inactive,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,CPE,Inactive,B,8/1/2019,P17099884,2500,Inactive,"deleteOTCListService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,CPE,Inactive,B,6/1/2019,P17099884,2500,Return,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,CPE,Inactive,B,6/1/2019,P17099884,2500,Inactive Not Paid,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,CPE,Inactive,B,8/1/2019,P17099884,2500,Return,"deleteOTCListService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,CPE,Inactive,B,8/1/2019,P17099884,2500,Inactive Not Paid,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,CPE,Return,B,6/1/2019,P17099884,2500,Return,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,CPE,Return,B,8/1/2019,P17099884,2500,Return,"updateCpeInfo,addCpeAccessory (saveTransection)"
