appUseMode,relocateState,CPE_TYPE_MAP,OLD_STATUS_DESC (CPE_status),SN_PATTERN,REGISTER_DATE,PENALTY_PRODUCT_CODE,PENALTY,STATUS_DESC (Return status to),APIs
return,Relocation,WIFI Router,In service,R,8/1/2019,P17099884,2500,Return,"createOrderChangePromotion,updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,WIFI Router,In service,R,8/1/2019,P17099884,2500,Inactive Not paid,"createOrderChangePromotion,updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,WIFI Router,In service,R,8/1/2019,P17099884,2500,Inactive,"createOrderChangePromotion,updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,WIFI Router,Inactive,R,8/1/2019,P17099884,2500,Return,"deleteOTCListService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,WIFI Router,Inactive,R,8/1/2019,P17099884,2500,Inactive Not paid,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,WIFI Router,In service,R,8/1/2019,P17099884,2500,Return,"createOrderChangePromotion,updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,WIFI Router,In service,R,8/1/2019,P17099884,2500,Inactive Not paid,"createOrderChangePromotion,updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,WIFI Router,In service,R,8/1/2019,P17099884,2500,Inactive,"createOrderChangePromotion,updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,WIFI Router,Inactive,R,8/1/2019,P17099884,2500,Return,"deleteOTCListService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,WIFI Router,Inactive,R,8/1/2019,P17099884,2500,Inactive Not paid,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,WIFI Router,In service,B,8/1/2019,P17099884,2500,Return,"createOrderChangePromotion,updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,WIFI Router,In service,B,8/1/2019,P17099884,2500,Inactive Not paid,"createOrderChangePromotion,updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,WIFI Router,In service,B,8/1/2019,P17099884,2500,Inactive,"createOrderChangePromotion,updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,WIFI Router,Inactive,B,8/1/2019,P17099884,2500,Return,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,WIFI Router,Inactive,B,8/1/2019,P17099884,2500,Inactive Not paid,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,WIFI Router,In service,B,8/1/2019,P17099884,2500,Return,"createOrderChangePromotion,updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,WIFI Router,In service,B,8/1/2019,P17099884,2500,Inactive Not paid,"createOrderChangePromotion,updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,WIFI Router,In service,B,8/1/2019,P17099884,2500,Inactive,"createOrderChangePromotion,updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,WIFI Router,Inactive,B,8/1/2019,P17099884,2500,Return,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,WIFI Router,Inactive,B,8/1/2019,P17099884,2500,Inactive Not paid,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,WIFI Router,In service,S,8/1/2019,P17099884,2500,Return,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,WIFI Router,In service,S,8/1/2019,P17099884,2500,Inactive Not paid,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,WIFI Router,In service,S,8/1/2019,P17099884,2500,Inactive,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,WIFI Router,Inactive,S,8/1/2019,P17099884,2500,Return,"deleteOTCListService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,WIFI Router,Inactive,S,8/1/2019,P17099884,2500,Inactive Not paid,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,WIFI Router,In service,S,8/1/2019,P17099884,2500,Return,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,WIFI Router,In service,S,8/1/2019,P17099884,2500,Inactive Not paid,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,WIFI Router,In service,S,8/1/2019,P17099884,2500,Inactive,"updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,WIFI Router,Inactive,S,8/1/2019,P17099884,2500,Return,"deleteOTCListService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,Relocation,WIFI Router,Inactive,S,8/1/2019,P17099884,2500,Inactive Not paid,"updateCpeInfo,addCpeAccessory (saveTransection)"
